"职业","卡名","类型","效果"
"契约师","寒冷之审判","咒术牌","移除，获得5点审判每有1点审判敌方获得1点寒冷"
"契约师","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"契约师","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"契约师","普通攻击","攻击牌","造成5点伤害"
"契约师","专注","行动牌","抽2张牌"
"契约师","瘟疫之审判","咒术牌","获得5点审判本次战斗，回合开始时获得2点审判"
"契约师","招魂水晶","咒术牌","移除，汲取3点法力将3张招魂术洗入牌组"
"契约师","魂飞魄散","咒术牌","造成敌方牌组数量的穿刺伤害"
"契约师","暗影突袭","咒术牌","造成10点穿刺伤害恢复10%损失生命"
"契约师","恐惧低语","法力牌","获得5点法力将2张恐惧洗入敌方牌组"
"契约师","大雾","咒术牌","40%几率闪避伤害持续1回合无效敌方下1张牌"
"契约师","生死逆转","咒术牌","移除，对调你的当前生命和已损失生命"
"契约师","冥界引路人","行动牌","从3张随机牌中选择1张获得其效果翻倍"
"契约师","痛苦分担","咒术牌","移除装备1个灵魂锁链"
"契约师","签订契约","咒术牌","移除，抽1张牌可再使用1次"
"契约师","死亡怀表","行动牌","移除，抽2张牌10%几率获得10点审判"
"契约师","灵魂献祭","行动牌","移除，获得2张消耗生命的牌"
"契约师","无尽炼狱","咒术牌","抽2张牌下回合少抽I张牌"
"契约师","灵魂收割","咒术牌","造成5点穿刺伤害若敌方没有法力则敌方失去一半生命最多失去60点)"
"契约师","普通攻击","攻击牌","造成6点伤害"
"契约师","虚无之审判","咒术牌","获得5点审判无效敌方下1张牌"
"契约师","巨物恐惧症","行动牌","移除，抽2张牌将2张恐惧洗入敌方牌组"
"契约师","能量吸收","咒术牌","移除，本次战斗当你在自己回合失去生命时恢复1点生命"
"契约师","引魂术","咒术牌","汲取5点法力"
"契约师","还魂术","行动牌","移除，随机获得2张被移除的牌"
"契约师","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"契约师","命运操控","行动牌","移除，接下来2回合你运气变好"
"契约师","商品订单","特殊牌","购买此牌时，刷新商品"
"契约师","冥火","咒术牌","造成5点穿刺伤害随机1至5次"
"契约师","退缩","反制牌","敌方使用伤害牌时:将其无效，抽张牌"
"契约师","包罗万象","行动牌","移除，将5张随机牌洗入牌组，抽2张牌"
"契约师","复仇怨魂","咒术牌","造成等同于你本次战斗失去过的生命总量的伤害"
"契约师","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"契约师","恐惧障壁","咒术牌","将2张恐惧洗入敌方牌组，直到下回合你受到伤害-2"
"契约师","死神视角","法力牌","移除，获得5点法力从牌组抽张消耗最低的咒术牌"
"契约师","选取灵魂","行动牌","移除，从3张咒术牌中选择1张，将2张复制洗入双方牌组"
"契约师","能量流动","法力牌","获得5点法力汲取5点法力"
"契约师","死亡收割","咒术牌","造成4点穿刺伤害1至3次"
"契约师","预言","行动牌","从牌组中选1张牌加入手牌"
"契约师","幽闭恐惧症","咒术牌","将1至4张恐惧洗入敌方牌组无效敌方下1张牌"
"契约师","灵魂提取","行动牌","移除，查看敌方的牌你可以选择1张牌来永久替换掉这张牌"
"契约师","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
