"职业","卡名","类型","效果"
"女巫","饱食","法力牌","使当前法力翻倍至多增加20点)"
"女巫","暴风雪","咒术牌","造成12点水属性伤害寒冷状态伤害加倍敌方获得4点寒冷"
"女巫","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"女巫","冰盾","咒术牌","获得6点护甲敌方获得6点寒冷"
"女巫","冰霜护符","装备牌","回合开始时获得3点法力敌方获得3点寒冷"
"女巫","冰霜新星","咒术牌","移除敌方获得20点寒冷"
"女巫","传送门","法力牌","移除，抽2张牌如果是咒术牌则将其法力消耗变为0"
"女巫","次元魔法","行动牌","移除所有手牌抽移除数量的牌触发移除的咒术牌的效果"
"女巫","催眠术","行动牌","移除对方失去所有行动力每失去1点你抽1张牌"
"女巫","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"女巫","大雾","咒术牌","40%几率闪避伤害持续1回合无效敌方下1张牌"
"女巫","毒爆","咒术牌","立即触发2次敌方的中毒的效果"
"女巫","毒性蔓延","咒术牌","敌方每有1点中毒便获得1点寒冷然后敌方获得3点中毒"
"女巫","恶魔头骨","装备牌","每回合抵挡1次8点以上的伤害"
"女巫","法力冰霜","法力牌","获得5点法力造成5点水属性伤害敌方获得5点寒冷"
"女巫","法力沉淀","法力牌","移除，抽1张牌下次卡牌造成伤害时恢复等量法力"
"女巫","法力翡翠","装备牌","当你使用咒术牌时抽1张牌C-回合至多抽3张"
"女巫","法力风暴","咒术牌","造成10点雷属性伤害若有至少40点法力，则扣除40点法力，额外进行1回合"
"女巫","法力贯穿","法力牌","获得5点法力造成1点火属性伤害3次"
"女巫","法力护盾","法力牌","移除，获得4点法力直到下回合，每受到2点伤害，消耗1法力来抵消"
"女巫","法力结界","法力牌","获得5点法力无效敌方的下1张牌"
"女巫","法力烈焰","法力牌","获得5点法力造成5点火属性伤害造成火属性伤害+1"
"女巫","法力膨胀","法力牌","获得5点法力且本回合下1张咒术牌额外增加1次效果"
"女巫","法力提取","咒术牌","造成6点穿刺伤害敌方如果直接死亡自己永久获得1点法力"
"女巫","法力源泉","法力牌","这回合法力消耗减少5点"
"女巫","法力之潮","法力牌","获得12点法力"
"女巫","法师警戒","法力牌","获得5点法力受到的伤害-1持续1回合"
"女巫","法术塑盾","行动牌","移除本次战斗你消耗的法力将转化为护甲"
"女巫","法术预言","法力牌","获得5点法力在你的牌组中抽取1张法力牌"
"女巫","风之石","咒术牌","造成4点雷属性伤害从牌组抽1张咒术牌"
"女巫","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"女巫","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
"女巫","海潮汹涌","法力牌","每携带1张消耗为偶数的咒术牌获得4点法力"
"女巫","寒流","咒术牌","造成6点水属性伤害寒冷状态伤害加倍敌方获得3点寒冷"
"女巫","挥舞法杖","攻击牌","抽1张法力牌随机获得你携带的1张法力消耗不低于5的咒术牌的复制*"
"女巫","回音","行动牌","移除，回合结束时获得本回合使用的每种咒术牌的复制*"
"女巫","火把","装备牌","当你造成物理伤害时造成1点火属性伤害"
"女巫","火苗","攻击牌","造成2点火属性伤害本次战斗，你造成的火属性伤害+2"
"女巫","火墙","咒术牌","直到下个回合当敌方使用攻击牌时受到2点火属性伤害"
"女巫","火球","咒术牌","造成18点火属性伤害"
"女巫","火山喷发","咒术牌","每携带1张消耗为奇数的咒术牌造成1次4点火属性伤害"
"女巫","火刑","咒术牌","获得2张炎爆术*"
"女巫","火焰冲击","咒术牌","造成10点火属性伤害"
"女巫","火焰束缚","咒术牌","造成3点火属性伤害本次战斗，你造成的火属性伤害+3"
"女巫","火灾","咒术牌","造成20点火属性伤害下回合再造成20点火属性伤害"
"女巫","记忆增幅","行动牌","移除，将本回合使用的下张非装备牌的2张复制*洗入牌组"
"女巫","惊奇卷轴","法力牌","获得5点法力获得1张随机咒术牌*"
"女巫","镜像","行动牌","移除获得最左边手牌的复制"
"女巫","飓风","咒术牌","消耗并造成剩余法力*1的雷属性伤害"
"女巫","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"女巫","卡片速递","行动牌","移除抽牌直到达到存牌上限"
