"职业","卡名","类型","效果"
"机械师","包罗万象","行动牌","移除，将5张随机牌洗入牌组，抽2张牌"
"机械师","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"机械师","爆裂装甲","行动牌","失去所有护甲造成2倍伤害"
"机械师","超大功率","行动牌","移除本次战斗行动力+2"
"机械师","超速","行动牌","抽张牌行动力+5"
"机械师","充能炮","行动牌","造成20点穿刺伤害使用后变回1级并且升级上限+1"
"机械师","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"机械师","弹幕射击","行动牌","使用牌组顶部3张牌中的所有攻击牌并将它们的复制洗入牌组"
"机械师","弹药装填","攻击牌","抽1张行动牌将2张随机攻击牌洗入牌组"
"机械师","电流喷射","行动牌","行动力+1，耗尽造成5点雷属性伤害"
"机械师","发电机","装备牌","回合开始时本次战斗行动力+1"
"机械师","反冲","反制牌","移除敌方使用行动/咒术牌时:那张牌返回手牌，敌方失去行动力和法力"
"机械师","反射护盾","攻击牌","获得5点护甲使用牌组顶部3张牌中的所有攻击牌"
"机械师","防御火炮","装备牌","当你获得护甲时造成2点伤害"
"机械师","防御要塞","攻击牌","造成2点穿刺伤害3次获得等同于伤害值护甲"
"机械师","腐蚀药水","行动牌","敌方获得1点易伤抽张牌"
"机械师","干扰机器人","装备牌","回合开始时敌方获得l点易伤"
"机械师","钢筋铁甲","行动牌","移除使你的护甲翻倍获得6点护甲"
"机械师","钢铁之躯","行动牌","移除，行动力+1耗尽:获得5点护甲"
"机械师","换挡","攻击牌","移除本次战斗行动力+1"
"机械师","火箭推进器","行动牌","造成12点伤害使用牌组顶部5张牌中的所有攻击牌组装:使用1张牌"
"机械师","机械操控","行动牌","移除，你每拥有10张牌抽1张牌并且行动力+1"
"机械师","机械传动","行动牌","移除，行动力+1，耗尽触发你携带卡牌的所有其他耗尽效果"
"机械师","机械拷贝","行动牌","移除，选择1张手牌下回合开始时获得张复制"
"机械师","机械犬","行动牌","移除，获得5点护甲获得1张随机牌组装:使用1张牌"
"机械师","机械刃弩","攻击牌","造成7点穿刺伤害随机移除敌方2张牌"
"机械师","机械手臂","行动牌","移除，获得5点护甲本次战斗行动力+1本次战斗抽牌数+1组装:使用1张牌"
"机械师","机械兔","行动牌","造成6点穿刺伤害你每拥有1张组装牌伤害+3组装:使用1张牌"
"机械师","机械信使","行动牌","移除，抽2张牌组装:移除1张牌"
"机械师","机械熊","行动牌","移除，抽2张行动牌将其消耗变为0组装:获得1次护甲"
"机械师","机械鼹鼠","行动牌","移除造成12点穿刺伤害获得此牌的复制组装:移除1张牌"
"机械师","机械炸药","攻击牌","移除，下回合开始时造成14点穿刺伤害"
"机械师","机械重碾","行动牌","造成6点伤害你拥有卡牌的数量每比敌方多1张伤害+2"
"机械师","金属音","攻击牌","移除造成4点穿刺伤害敌方获得1点易伤"
"机械师","紧张感","行动牌","所有下回合将要生效的效果翻倍"
"机械师","镜像","行动牌","移除获得最左边手牌的复制"
"机械师","卡片速递","行动牌","移除抽牌直到达到存牌上限"
"机械师","耐力补给","行动牌","移除行动力+3"
"机械师","能量冲击","攻击牌","造成6点雷属性伤害本次战斗每失去过1点行动力伤害+1"
"机械师","能量存储","行动牌","失去最多3点行动力下回合获得双倍行动力"
"机械师","能量轰炸","行动牌","行动力+1，耗尽造成3点伤害"
"机械师","能量积蓄","攻击牌","造成7点雷属性伤害下回合行动力+2"
"机械师","能量释放","攻击牌","造成4点雷属性伤害获得1点行动力"
"机械师","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"机械师","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"机械师","普通攻击","攻击牌","造成5点伤害"
"机械师","清除威胁","攻击牌","造成4点穿刺伤害移除敌方场上所有的牌每移除1张，造成4点穿刺伤害"
"机械师","扰乱","攻击牌","移除，敌方获得1点易伤下回合敌方的易伤不会消失"
"机械师","弱点暴露","行动牌","敌方获得2点易伤"
"机械师","弱点侦查机","装备牌","当敌方获得易伤时抽张牌"
"机械师","商品订单","特殊牌","购买此牌时，刷新商品"
"机械师","烧焦","行动牌","敌方获得2点易伤自己获得1点易伤"
"机械师","设计图纸","行动牌","移除，抽2张牌下回合额外抽I张牌"
"机械师","升级齿轮","装备牌","回合开始时升级你的手牌"
"机械师","升级改造","行动牌","升级你拥有的牌溢出的升级转化为等量护甲"
"机械师","吞噬兽","装备牌","你或者敌方的卡牌被移除时造成2点穿刺伤害"
"机械师","瓦解","行动牌","造成3点穿刺伤害3次随机移除敌方3张牌"
"机械师","维修手臂","攻击牌","移除，获得5点护甲下回合额外抽张牌"
"机械师","无中生有","行动牌","移除获得2张随机牌"
"机械师","吸尘器","装备牌","敌方的卡牌被移除时50%几率获得1张复制*"
"机械师","限制解除","行动牌","下回合你造成的伤害翻倍"
"机械师","修理扳手","攻击牌","获得5点护甲升级你的手牌2次"
"机械师","烟雾弹","行动牌","移除，抽1张牌直到下回合受到伤害-3"
"机械师","引爆","行动牌","移除，抽张牌立即触发所有下回合将要生效效果"
"机械师","应急干粮","攻击牌","移除，获得2点行动力失去所有行动力时从牌组获得这张牌"
"机械师","躁动","行动牌","移除抽2张牌"
"机械师","增殖弹","攻击牌","造成6点伤害从牌组使用1张攻击牌将此牌1级的复制洗入牌组"
"机械师","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"机械师","炸药飞艇","行动牌","抽1张牌获得1张2级机械炸药组装:使用1张牌"
