"职业","卡名","类型","效果"
"游侠","暗器","行动牌","丢弃牌组顶部5张牌抽1张牌"
"游侠","绊倒","行动牌","敌方每使用1张牌会随机丢弃1张牌，持续1回合"
"游侠","包罗万象","行动牌","移除，将5张随机牌洗入牌组，抽2张牌"
"游侠","包扎伤口","行动牌","丢弃所有手牌抽2张牌"
"游侠","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"游侠","倍击弹弓","装备牌","你最后的手牌造成的伤害加倍"
"游侠","残影","行动牌","抽1张牌，行动力+1下个回合额外抽1张牌，获得1行动力"
"游侠","仓促治疗","行动牌","恢复4点生命抽1张牌"
"游侠","侧踢","行动牌","造成4点伤害敌方下个回合抽牌-1"
"游侠","沉痛打击","行动牌","造成3点伤害失去手牌和行动力每失去1张手牌或1点行动力，伤害+3"
"游侠","筹谋","行动牌","抽张牌，本回合下次卡牌的伤害翻倍"
"游侠","出血","行动牌","敌方获得8点流血抽1张牌"
"游侠","伺机待发","行动牌","移除，将2张佯攻*加入手牌佯攻:抽张牌)"
"游侠","催眠术","行动牌","移除对方失去所有行动力每失去1点你抽1张牌"
"游侠","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"游侠","毒伤","行动牌","敌方获得4点中毒抽1张牌"
"游侠","毒液","行动牌","敌方获得5点中毒"
"游侠","躲闪","行动牌","抽1张牌25%几率闪避伤害持续1回合"
"游侠","飞踢","行动牌","造成1点伤害，抽1张牌如果是本回合使用的第一张牌，则伤害+9"
"游侠","疯狂","行动牌","直到下回合每丢弃1张手牌造成5点穿刺伤害"
"游侠","腐蚀药水","行动牌","敌方获得1点易伤抽张牌"
"游侠","感染","攻击牌","敌方获得4点中毒"
"游侠","割破钱袋","攻击牌","移除，获得2金币造成6点伤害"
"游侠","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"游侠","古怪符文","装备牌","敌方在他自己的回合受到的伤害+3"
"游侠","骨棒","装备牌","你将牌丢弃或移除时对敌方造成2点伤害"
"游侠","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
"游侠","回收","行动牌","丢弃所有手牌并重新抽相同数量的牌"
"游侠","回旋镖","行动牌","造成5点伤害将这张牌放回牌组顶部并且本回合回旋镖伤害+10"
