"职业","卡名","类型","效果"
"药剂师","刺伤","攻击牌","移除造成12点穿刺伤害"
"药剂师","回收装置","行动牌","移除，从携带的3张牌中选择1张，将其2张复制*洗入牌组"
"药剂师","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"药剂师","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"药剂师","普通攻击","攻击牌","造成5点伤害"
"药剂师","实验改良","行动牌","移除，获得2点强效每有1层强效消耗减少1"
"药剂师","专注","行动牌","抽2张牌"
"药剂师","冥想","行动牌","抽2张牌将2张减速*洗入牌组"
"药剂师","缩小射线","咒术牌","移除使敌方拥有的所有攻击牌降低1级"
"药剂师","女巫坩埚","装备牌","你每有1张牌因为效果被移除造成2点穿刺伤害"
"药剂师","腐败","咒术牌","移除，回收造成3点穿刺伤害"
"药剂师","玩火","咒术牌","移除，获得1张燃烧药水III，抽I张牌"
"药剂师","暗影突袭","咒术牌","造成10点穿刺伤害恢复10%损失生命"
"药剂师","提纯装置","行动牌","移除，获得1张效果加倍的随机牌*本次战斗，效果加倍的卡牌消耗变为0"
"药剂师","贤者之石","咒术牌","移除将你使用的下一张牌的复制*置入手牌"
"药剂师","秘术仪","装备牌","每累计造成4点伤害获得1点生命上限"
"药剂师","充电","咒术牌","移除装备1张蓄电池造成1点雷属性伤害3次"
"药剂师","风箱","装备牌","敌方使用牌时将额外触发1次烧伤伤害"
"药剂师","调合实验","行动牌","移除所有手牌获得等量随机牌最多获得4张"
"药剂师","巫术转移","咒术牌","移除无效敌方的下张牌下回合额外抽I张牌"
"药剂师","快速混合","行动牌","移除手牌消耗为1的咒术牌全部变为鸡尾酒"
"药剂师","成功率0?","咒术牌","移除，回收获得1张随机牌"
"药剂师","治疗药","咒术牌","恢复7点生命超出部分转换成护甲"
"药剂师","普通攻击","攻击牌","造成6点伤害"
"药剂师","突发奇想","行动牌","查看4张随机牌，选择1张将其3张复制*洗入牌组"
"药剂师","变心","咒术牌","随机获得敌方牌组中的2张牌"
"药剂师","法术预言","法力牌","获得5点法力在你的牌组中抽取1张法力牌"
"药剂师","风筝实验","咒术牌","造成3次1点雷属性伤害将3张闪电链接洗入牌组"
"药剂师","能量金属","法力牌","移除，抽1张牌，本回合每使用1张咒术牌获得1点法力"
"药剂师","鸡尾酒","行动牌","触发你携带的每种药水牌的效果"
"药剂师","控制变量","行动牌","从牌组抽取两张相同名称的牌若无同名牌则改为抽1张牌"
"药剂师","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"药剂师","商品订单","特殊牌","购买此牌时，刷新商品"
"药剂师","着魔","法力牌","移除，抽1张牌获得9点法力"
"药剂师","燃烧药水","咒术牌","造成3点火属性伤害敌方获得3点烧伤"
"药剂师","恶魔手镜","装备牌","回合开始时将1张恶作剧洗入敌方牌组"
"药剂师","退缩","反制牌","敌方使用伤害牌时:将其无效，抽张牌"
"药剂师","粘性药水","咒术牌","造成3点伤害敌方获得3点黏着"
"药剂师","反物质","咒术牌","造成5点穿刺伤害所有反物质伤害+5"
"药剂师","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"药剂师","克隆","法力牌","移除，获得7点法力将手牌中所有咒术牌的复制*洗入牌组"
"药剂师","翻腾","咒术牌","移除，回收获得5点法力"
"药剂师","无中生有","行动牌","移除获得2张随机牌"
"药剂师","魔药强效","行动牌","移除获得1点强效"
"药剂师","移动施法","法力牌","获得7点法力行动力+2"
"药剂师","稀释","法力牌","移除，获得手牌1张药水的1张复制获得6点法力"
"药剂师","雷阵雨","咒术牌","造成2点雷属性伤害每携带1张咒术牌额外造成1次1点雷属性伤害"
"药剂师","卡片速递","行动牌","移除抽牌直到达到存牌上限"
"药剂师","浓缩","行动牌","移除，手牌和牌组所有药水获得加倍"
"药剂师","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
"药剂师","创世之力","行动牌","随机获得1张其他职业的牌额外获得其1张复制"
"药剂师","回忆","行动牌","移除从被移除的牌中选择一张加入手牌"
"药剂师","多重感染","咒术牌","敌方每有l种药物效果造成敌方药物效果总数半的穿刺伤害"
"药剂师","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"药剂师","毒药桶","装备牌","回合开始时敌方获得2点中毒"
"药剂师","闪电爆破","咒术牌","造成6点雷属性伤害，本回合每造成过1次雷属性伤害，伤害+1"
"药剂师","镜像","行动牌","移除获得最左边手牌的复制"
"药剂师","法力膨胀","法力牌","获得5点法力且本回合下1张咒术牌额外增加1次效果"
"药剂师","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"药剂师","原始法则","装备牌","回合结束时造成等同于你生命上限10%的穿刺伤害"
"药剂师","催眠术","行动牌","移除对方失去所有行动力每失去1点你抽1张牌"
"药剂师","躁动","行动牌","移除抽2张牌"
"药剂师","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"药剂师","智慧","法力牌","获得5点法力抽1张牌"
"药剂师","能量饮料","法力牌","移除获得25点法力"
"药剂师","化学狂暴","行动牌","移除，将3张魔药强效洗入牌组"
"药剂师","连锁反应","行动牌","移除，抽2张牌将抽到的咒术牌加倍"
"药剂师","雷暴药水","咒术牌","回收造成4次1点雷属性伤害"
"药剂师","法力结界","法力牌","获得5点法力无效敌方的下1张牌"
"药剂师","灵感","法力牌","获得5点法力然后在你的牌组中抽取1张咒术牌"
"药剂师","耐力补给","行动牌","移除行动力+3"
"药剂师","钻研术","咒术牌","抽1张牌并造成10点伤害若手牌卡牌类型均不同则重复这个效果"
"药剂师","血瓶","咒术牌","移除，获得15点生命上限，将4张饮血洗入牌组"
"药剂师","冰冷药水","咒术牌","造成3点水属性伤害敌方获得3点寒冷"
"药剂师","暗影炼制","咒术牌","移除，获得2张暗影药水III"
"药剂师","健忘","咒术牌","移除，获得5点护甲随机获得1张具有移除的牌*"
"药剂师","强能水晶","咒术牌","移除，升级手牌和牌组的所有牌"
"药剂师","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"药剂师","黑暗曙光","咒术牌","移除，恢复50%损失生命造成恢复量50%的穿刺伤害"
"药剂师","吸血鬼剑","装备牌","每累计造成4点伤害获得1点生命值"
"药剂师","蓄电池","装备牌","当你使用咒术牌时造成1点雷属性伤害"
"药剂师","水银沙漏","装备牌","当你移除12张牌时移除水银沙漏获得-个额外回合"
"药剂师","闪电链接","咒术牌","造成3次1点雷属性伤害从牌组抽2张消耗为1的咒术牌"
"药剂师","扑朔迷离","咒术牌","移除，从牌组抽法力消耗为1，2，3的牌各一张"
"药剂师","摇晃","行动牌","移除获得1点强效抽张牌"
"药剂师","加护","咒术牌","移除，抽张牌你接下来受到的3次伤害减半"
"药剂师","备用口袋","攻击牌","移除，从牌组使用所有药水牌(法力消耗照常"
"药剂师","小石头","攻击牌","移除造成1点伤害"
"药剂师","绝境反击","行动牌","造成自己已损失生命值一半的穿刺伤害"
"药剂师","研磨","咒术牌","移除，回收抽1张牌"
"药剂师","暗影药水","咒术牌","造成5点穿刺伤害吸取5点生命上限"
"药剂师","对撞机","装备牌","当你连续使用同名牌时获得1张反物质每种名称的卡牌只能获得1张)"
"药剂师","隐形斗篷","装备牌","敌方每回合使用的第1张牌无效(无法叠加)"
"药剂师","湮灭","咒术牌","移除你牌组所有同名的牌，每移除1张造成5点伤害"
"药剂师","治愈","咒术牌","恢复7点生命"
