"职业","卡名","类型","效果"
"魔术师","暗箱操作","法力牌","复原所有高于原始伤害的法力消耗"
"魔术师","包扎伤口","行动牌","丢弃所有手牌抽2张牌"
"魔术师","暴躁","行动牌","查看自己牌组3张牌选择1张获得复制*"
"魔术师","备用牌盒","装备牌","触发3次反制牌后破坏这张牌被破坏时获得2张鬼牌"
"魔术师","背叛","行动牌","将这张牌和敌方牌组的2张牌交换位置"
"魔术师","必杀扑克","咒术牌","造成6点伤害本回合你每使用过1次咒术牌，伤害+1"
"魔术师","变换","法力牌","从牌组抽I张咒术牌交换手牌中最高和最低的法力消耗"
"魔术师","布满陷阱","咒术牌","获得你接下来使用的1张反制牌的复制*"
"魔术师","超能装置","装备牌","每使用2张攻击牌获得一张念力爆破*"
"魔术师","充能棒","装备牌","使用2张咒术牌后破坏装备区域的此牌被破坏时，抽2张牌"
"魔术师","筹谋","行动牌","抽张牌，本回合下次卡牌的伤害翻倍"
"魔术师","传送门","法力牌","移除，抽2张牌如果是咒术牌则将其法力消耗变为0"
"魔术师","吹气","法力牌","获得5点法力手牌中最高的法力消耗变为0"
"魔术师","刺伤","攻击牌","移除造成12点穿刺伤害"
"魔术师","催眠术","行动牌","移除对方失去所有行动力每失去1点你抽1张牌"
"魔术师","嗒啦啦噗噜噜","行动牌","移除，抉择:探索/战斗技能冷却-1。每场战斗只能生效1次"
"魔术师","恶魔手镜","装备牌","回合开始时将1张恶作剧洗入敌方牌组"
"魔术师","恶作剧惊魂","攻击牌","造成敌方恶作剧数量3倍的穿刺伤害，将1张恶作剧洗入敌方牌组"
"魔术师","法力结界","法力牌","获得5点法力无效敌方的下1张牌"
"魔术师","法术预言","法力牌","获得5点法力在你的牌组中抽取1张法力牌"
"魔术师","反冲","反制牌","移除敌方使用行动/咒术牌时:那张牌返回手牌，敌方失去行动力和法力"
"魔术师","复杂多变","行动牌","从牌组抽1张攻击牌咒术牌、法力牌"
"魔术师","复制道具","行动牌","选择并破坏一张装备牌将其2张复制洗入牌组"
"魔术师","共鸣","反制牌","敌方使用攻击/行动/咒术牌时:将其无效并获得其效果"
"魔术师","古怪符文","装备牌","敌方在他自己的回合受到的伤害+3"
"魔术师","诡计","攻击牌","移除从牌组使用3张反制牌"
"魔术师","鬼牌","咒术牌","这张牌视为你使用的上一张咒术牌"
"魔术师","还击","反制牌","敌方使用攻击牌时将其无效，对敌方造成2伤害，抽1张牌"
"魔术师","幻术","行动牌","破坏你的装备牌每破坏1张本次战斗伤害+2"
"魔术师","回收","行动牌","丢弃所有手牌并重新抽相同数量的牌"
"魔术师","火墙","咒术牌","直到下个回合当敌方使用攻击牌时受到2点火属性伤害"
"魔术师","镜像","行动牌","移除获得最左边手牌的复制"
"魔术师","卡牌包","特殊牌","购买这张牌时增加3张随机卡牌至你的牌组"
"魔术师","卡片速递","行动牌","移除抽牌直到达到存牌上限"
"魔术师","雷鸣","攻击牌","造成5点雷属性伤害下个咒术牌无消耗"
"魔术师","雷刃","装备牌","每使用1张攻击牌造成1点雷属性伤害"
"魔术师","连锁机关","反制牌","敌方回合反制牌触发时:造成2次2点伤害敌方回合结束前受到伤害+3"
"魔术师","灵感","法力牌","获得5点法力然后在你的牌组中抽取1张咒术牌"
"魔术师","帽子戏法","反制牌","移除任意方使用攻击牌时获得其2张复制*"
"魔术师","魅惑","行动牌","查看敌方牌顶3张牌选择1张复制"
"魔术师","迷失方向","反制牌","当敌方使用行动牌时:将其无效并获得其效果"
"魔术师","魔术棒","装备牌","回合结束时手中的咒术牌法力消耗-4"
"魔术师","魔术飞刀","咒术牌","触发你携带的随机2张攻击牌的效果"
"魔术师","魔术怀表","咒术牌","抽2张牌30%几率获得额外1回合(几率逐渐降低)"
"魔术师","魔术力场","咒术牌","本回合，当反制牌置入战场时，抽1张牌(最多3张)"
"魔术师","魔术帘幕","法力牌","这回合法力消耗减少1点，抽1张牌"
"魔术师","魔术手套","装备牌","使用2张行动牌后破坏这张牌被破坏时,将3张恶作剧洗入敌方牌组"
"魔术师","魔术丝帽","装备牌","当你使用反制牌的时候敌方获得2点流血"
"魔术师","木偶戏法","行动牌","获得你接下来使用的1张反制牌的2张复制*"
"魔术师","能量饮料","法力牌","移除获得25点法力"
"魔术师","念力爆破","咒术牌","造成30点穿刺伤害"
"魔术师","凝视","反制牌","敌方使用攻击牌时:将其无效敌方获得2点易伤"
"魔术师","品鉴","行动牌","移除，查看3张随机牌你可以选择一张永久获得(剩余3次机会)"
"魔术师","扑克飞镖","咒术牌","造成2点伤害这张牌回到手牌且法力消耗+1"
"魔术师","普通攻击","攻击牌","造成5点伤害"
"魔术师","普通攻击","攻击牌","造成6点伤害"
"魔术师","千把刀","咒术牌","每携带1张攻击牌，便造成1次4点伤害"
"魔术师","千变万化","攻击牌","抽2张牌"
"魔术师","千刀万剐","攻击牌","造成1点伤害重复5次"
"魔术师","巧夺","反制牌","敌方回合反制牌触发时:随机获得敌方1张手牌"
"魔术师","清晰术","法力牌","这回合法力消耗减少3点"
"魔术师","弱点暴露","行动牌","敌方获得2点易伤"
"魔术师","商品订单","特殊牌","购买此牌时，刷新商品"
"魔术师","烧焦","行动牌","敌方获得2点易伤自己获得1点易伤"
"魔术师","水晶球","咒术牌","抽张牌并获得其复制*"
"魔术师","死守","行动牌","丢弃所有手牌，每丢弃1张，获得6点护甲"
"魔术师","贪婪","行动牌","抽5张牌丢弃所有非攻击牌"
"魔术师","天降炸弹","咒术牌","抽2张牌使用其他牌时这张牌消耗-1"
"魔术师","痛苦打击","攻击牌","造成6点伤害获得6点法力"
"魔术师","突发奇想","行动牌","查看4张随机牌，选择1张将其3张复制*洗入牌组"
"魔术师","突袭","行动牌","移除抽3张牌"
"魔术师","退缩","反制牌","敌方使用伤害牌时:将其无效，抽张牌"
"魔术师","无中生有","行动牌","移除获得2张随机牌"
"魔术师","舞台剧","攻击牌","移除，获得1张随机反制牌*"
"魔术师","误导","反制牌","敌方使用攻击牌时:随机获得敌方1张手牌"
"魔术师","娴熟魔术","行动牌","将2张恶作剧放入敌方牌组，敌方下个回合抽牌时随机丢弃1张"
"魔术师","小丑戏法","攻击牌","将2张恶作剧洗入敌方的牌组"
"魔术师","邪恶水晶","咒术牌","敌方获得3点易伤"
"魔术师","悬浮","咒术牌","下1张咒术牌额外生效2次(对悬浮无效)"
"魔术师","迅捷攻击","攻击牌","造成5点伤害抽张牌"
"魔术师","移动施法","法力牌","获得7点法力行动力+2"
"魔术师","遗失","行动牌","抽3张牌然后丢弃2张手牌"
"魔术师","银色披风","装备牌","回合开始时从牌组使用张反制牌或攻击牌"
"魔术师","隐形斗篷","装备牌","敌方每回合使用的第1张牌无效(无法叠加)"
"魔术师","预言","行动牌","从牌组中选1张牌加入手牌"
"魔术师","杂技","攻击牌","移除，从牌组使用并移除3张攻击牌"
"魔术师","躁动","行动牌","移除抽2张牌"
"魔术师","炸弹","行动牌","造成30点火属性伤害将这张牌永久移出游戏"
"魔术师","着魔","法力牌","移除，抽1张牌获得9点法力"
"魔术师","炙热斗篷","装备牌","敌方使用攻击牌时对敌方造成2点火属性伤害"
"魔术师","智慧","法力牌","获得5点法力抽1张牌"
"魔术师","专注","行动牌","抽2张牌"
"魔术师","钻研术","咒术牌","抽1张牌并造成10点伤害若手牌卡牌类型均不同则重复这个效果"
