"职业","稀有度","卡名","类型","标签","费用","效果"
"女巫","基础","火花术","攻击","火焰","1","造成6点伤害。若你有蓄法，额外造成2点伤害。"
"女巫","基础","凝霜术","技能","冰霜","1","获得5点格挡。施加2层寒冷。"
"女巫","普通","火苗","攻击","火焰 咒术","1","造成5点伤害。本场战斗你的火焰伤害+1。"
"女巫","普通","寒流","攻击","冰霜 咒术","1","造成5点伤害并施加3层寒冷。若目标已有寒冷，改为7点伤害。"
"女巫","普通","法力冰霜","技能","冰霜 咒术","1","获得1点蓄法。施加4层寒冷。"
"女巫","普通","法力烈焰","技能","火焰 咒术","1","获得1点蓄法。你打出的下一张造成伤害的牌额外造成4点伤害。"
"女巫","普通","智慧","技能","法术","1","抽1张牌。获得1点蓄法。"
"女巫","普通","灵感","技能","法术","1","从牌库抽1张咒术牌。若未能抽到，改为抽1张牌并获得1点蓄法。"
"女巫","普通","风之石","攻击","雷电 咒术","1","造成4点伤害。抽1张牌。若这张牌是你本回合打出的第一张咒术，获得1点蓄法。"
"女巫","普通","冰盾","技能","冰霜 咒术","1","获得7点格挡。若目标有寒冷，额外获得4点格挡。"
"女巫","普通","火焰束缚","攻击","火焰 咒术","1","造成7点伤害。若目标有寒冷，施加1层易伤。"
"女巫","普通","邪恶水晶","技能","法术","1","施加2层易伤。若你有蓄法，抽1张牌。"
"女巫","普通","酸性喷雾","技能","毒素 咒术","1","施加4层中毒。"
"女巫","普通","凝固","技能","冰霜 咒术","1","施加4层寒冷和1层虚弱。"
"女巫","普通","雷鸣","攻击","雷电","1","造成6点伤害。你打出的下一张咒术牌费用-1。"
"女巫","普通","痛苦打击","攻击","法术","1","造成7点伤害。获得1点蓄法。"
"女巫","普通","预言","技能","法术","1","查看抽牌堆顶4张牌。将其中1张置于顶部，1张置入手牌。"
"女巫","普通","水晶球","技能","咒术","1","抽1张牌。若抽到咒术牌，将其1张复制洗入弃牌堆。"
"女巫","普通","快速施法","技能","法术","1","你打出的下一张咒术牌费用-1。若其基础费用为1，改为额外生效一次。"
"女巫","普通","法师警戒","技能","法术","1","获得6点格挡。若你有蓄法，下回合开始时再获得4点格挡。"
"女巫","普通","咒语强化","技能","法术","1","你打出的下一张咒术牌额外生效一次。"
"女巫","普通","战斗法杖","能力","法术","1","每回合首次打出攻击牌时，获得1点蓄法。"
"女巫","优秀","暴风雪","攻击","冰霜 咒术","2","造成10点伤害。对有寒冷的目标，额外结算其寒冷一次并施加4层寒冷。"
"女巫","优秀","火球","攻击","火焰 咒术","2","造成16点伤害。若你本场战斗已打出3张咒术牌，费用-1。"
"女巫","优秀","法术塑盾","技能","法术","1","本回合每当你获得蓄法时，获得4点格挡。"
"女巫","优秀","法力翡翠","能力","法术","1","每回合前3次打出咒术牌时，抽1张牌。"
"女巫","优秀","魔力法杖","能力","法术","1","每当你获得蓄法时，对随机敌人造成2点伤害。"
