"职业","稀有度","卡名","类型","标签","费用","效果"
"药剂师","基础","投瓶","攻击","配方","1","造成6点伤害。若目标带有负面状态，额外造成2点伤害。"
"药剂师","基础","应急敷料","技能","回复","1","获得5点格挡。若你有强效，额外获得3点格挡。"
"药剂师","普通","燃烧药水","攻击","药剂 火焰","1","造成5点伤害。施加3层烧伤。"
"药剂师","普通","冰冷药水","攻击","药剂 冰霜","1","造成5点伤害。施加2层寒冷。"
"药剂师","普通","粘性药水","技能","药剂 控制","1","施加3层黏着。获得4点格挡。"
"药剂师","普通","毒雾试剂","技能","药剂 毒素","1","施加4层中毒。"
"药剂师","普通","治疗药","技能","药剂 回复","1","回复5点生命。若你的生命已满，改为获得7点格挡。"
"药剂师","普通","摇晃","技能","强效","1","获得1层强效。抽1张牌。"
"药剂师","普通","实验改良","技能","强效","1","获得2层强效。消耗。"
"药剂师","普通","专注","技能","配方","1","抽2张牌。"
"药剂师","普通","控制变量","技能","配方","1","抽1张牌。选择手牌中的1张牌，将其1张复制洗入抽牌堆。"
"药剂师","普通","回收装置","技能","回收","1","从消耗堆选择1张牌置入弃牌堆，并将其1张复制洗入抽牌堆。"
"药剂师","普通","研磨","技能","回收","1","消耗手牌中的至多1张牌。抽1张牌。若消耗的是药剂牌，获得1层强效。"
"药剂师","普通","能量金属","技能","配方","1","本回合每当你打出1张药剂牌，获得1点格挡并对随机敌人造成1点伤害。"
"药剂师","普通","雷暴药水","攻击","药剂 雷电","1","造成2点伤害3次。"
"药剂师","普通","闪电链接","攻击","药剂 雷电","1","造成3点伤害2次。你本回合打出的下一张药剂牌额外造成2点伤害。"
"药剂师","普通","反物质","攻击","药剂 暗影","1","造成7点穿刺伤害。本场战斗其他反物质牌伤害+3。"
"药剂师","普通","冥想","技能","配方","1","抽2张牌，然后弃1张牌。"
"药剂师","普通","稀释","技能","配方","1","选择手牌中的1张药剂牌。将其1张临时复制置入手牌，费用-1。"
"药剂师","普通","成功率0?","技能","配方","1","发现1张随机药剂牌。本回合其费用变为0。消耗。"
"药剂师","普通","燃素残渣","能力","火焰","1","每当敌人受到烧伤伤害时，获得2点格挡。"
"药剂师","普通","毒药桶","能力","毒素","1","回合结束时，对随机敌人施加1层中毒。若所有敌人都有中毒，改为所有敌人。"
"药剂师","优秀","鸡尾酒","技能","药剂 调合","2","结算目标身上的中毒、烧伤、寒冷、黏着各1次。每成功结算1种，获得1层强效。"
"药剂师","优秀","快速混合","技能","配方","1","你本回合打出的接下来2张药剂牌费用变为0。"
"药剂师","优秀","浓缩","技能","配方","2","你本回合打出的接下来2张药剂牌数值翻倍，并在结算后消耗。"
"药剂师","优秀","魔药强效","技能","强效","1","获得3层强效。消耗。"
"药剂师","优秀","化学狂暴","技能","强效","1","将3张魔药强效洗入抽牌堆。抽1张牌。"
"药剂师","优秀","调合实验","技能","配方 回收","2","消耗你的手牌，然后随机将等量药剂牌置入手牌，最多4张。"
"药剂师","优秀","提纯装置","技能","配方","2","发现1张牌。它本场战斗费用变为0，且数值翻倍。消耗。"
"药剂师","优秀","贤者之石","技能","配方","1","你本回合打出的下一张牌在结算后回到手牌。消耗。"
"药剂师","优秀","风箱","能力","火焰","1","每当烧伤结算时，额外结算1次。"
"药剂师","优秀","女巫坩埚","能力","回收","1","每当有牌被卡牌效果消耗时，对随机敌人造成2点穿刺伤害。"
"药剂师","优秀","蓄电池","能力","雷电","1","每当你打出1张药剂牌，对随机敌人造成1点雷电伤害。"
"药剂师","优秀","秘术仪","能力","回复","1","每当你累计造成8点非中毒伤害，回复1点生命并获得1点格挡。"
"药剂师","优秀","风筝实验","攻击","药剂 雷电","1","造成1点伤害4次。将2张闪电链接洗入弃牌堆。"
"药剂师","优秀","燃烧药剂簇","攻击","药剂 火焰","2","对所有敌人造成7点伤害并施加4层烧伤。"
"药剂师","优秀","冰冷药剂簇","攻击","药剂 冰霜","2","对所有敌人造成6点伤害并施加3层寒冷。"
"药剂师","优秀","多重感染","攻击","药剂 毒素","2","目标每有1种不同的负面状态，便造成5点伤害并施加1层中毒。"
"药剂师","优秀","暗影药水","攻击","药剂 暗影","1","造成8点穿刺伤害。回复4点生命。"
"药剂师","优秀","暗影突袭","攻击","暗影","2","造成14点穿刺伤害。若目标带有负面状态，回复6点生命。"
"药剂师","优秀","治愈","技能","药剂 回复","1","回复7点生命。若生命已满，改为获得10点格挡。"
"药剂师","优秀","加护","技能","药剂 回复","1","获得7点格挡。你本回合接下来受到的3次伤害减半。消耗。"
"药剂师","优秀","缩小射线","技能","药剂 控制","1","施加2层虚弱和2层易伤。"
"药剂师","优秀","扑朔迷离","技能","配方","2","从抽牌堆各抽1张费用为1、2、3的牌。"
"药剂师","优秀","连锁反应","技能","配方","1","抽2张牌。以此法抽到的药剂牌本回合数值翻倍。消耗。"
"药剂师","优秀","回忆","技能","回收","1","从消耗堆选择1张牌置入手牌。本回合其费用-1。"
"药剂师","优秀","强能水晶","技能","配方","2","升级你手牌中的所有牌。若你本回合消耗过牌，抽1张牌。"
"药剂师","优秀","闪电爆破","攻击","药剂 雷电","2","造成8点伤害。本回合你每造成过1次雷电伤害，额外造成2点伤害。"
"药剂师","优秀","钻研术","攻击","配方","1","造成8点伤害并抽1张牌。若你手牌中的牌类型至少有3种，重复一次。"
"药剂师","优秀","变心","技能","配方","2","发现2张其他职业的牌，选择1张加入手牌。本回合其费用-1。"
"药剂师","优秀","实验回响","技能","配方","1","选择弃牌堆中的1张牌。本场战斗你下一次打出同名牌时，将其1张复制置入手牌。"
"药剂师","优秀","贤者萃取","技能","强效","1","获得1层强效。每有1种敌人负面状态，获得2点格挡，最多8点。"
"药剂师","优秀","配方校准","技能","配方","1","选择1项：获得2层强效；抽2张牌；你打出的下一张药剂牌费用变为0。"
"药剂师","优秀","中和剂","技能","药剂","1","移除目标所有烧伤、中毒、寒冷、黏着。每移除1层，造成1点伤害，最多20点。"
"药剂师","优秀","雷阵雨","攻击","药剂 雷电","2","对所有敌人造成2点伤害4次。"
"药剂师","优秀","粘性炸弹","技能","药剂 控制","2","对所有敌人施加6层黏着和1层虚弱。"
"药剂师","优秀","血清过载","技能","强效","1","失去3点生命。获得2层强效并抽1张牌。"
"药剂师","优秀","药性分析","技能","配方","1","若目标有至少2种负面状态，抽2张牌。若有至少4种，额外获得1点能量。"
"药剂师","稀有","备用口袋","技能","配方","2","依次打出你手牌中的所有药剂牌。它们在结算后消耗。"
"药剂师","稀有","血瓶","技能","回复","2","永久获得5点生命上限。回复10点生命。消耗。"
"药剂师","稀有","黑暗曙光","技能","暗影 回复","2","回复你已损失生命值的一半。对随机敌人造成等量伤害。消耗。"
"药剂师","稀有","湮灭","攻击","回收","2","选择1张牌。消耗你手牌、抽牌堆和弃牌堆中的所有同名牌，每消耗1张造成6点伤害。"
"药剂师","稀有","对撞机","能力","配方","2","每回合第一次打出第二张同名牌时，将1张反物质置入手牌且其费用变为0。"
"药剂师","稀有","暗影炼制","技能","药剂 暗影","2","将2张强化暗影药水置入手牌。它们造成12点穿刺伤害并回复6点生命。"
"药剂师","稀有","绝境反击","攻击","暗影","2","造成等同于你已损失生命值一半的穿刺伤害。获得等量一半的格挡。"
"药剂师","稀有","腐败","攻击","回收","2","消耗手牌中的1张牌。造成12点穿刺伤害。若消耗的是药剂牌，重复一次。"
"药剂师","稀有","玩火","技能","火焰","2","将1张强化燃烧药水置入手牌并抽1张牌。本回合烧伤额外结算1次。"
"药剂师","稀有","翻腾","技能","回收","1","消耗至多2张牌。每消耗1张牌，抽1张牌；若消耗的是药剂牌，额外获得1层强效。"
"药剂师","稀有","克隆","技能","配方","2","选择任意数量手牌中的药剂牌。将它们的复制洗入抽牌堆，并使这些复制本场战斗费用-1。"
